<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2003.09.10	16:00:00	28.02	28.18	27.90	28.12	11983	9585041	0
2003.09.10	17:00:00	28.05	28.13	27.95	28.06	10328	7002848	0
2003.09.10	18:00:00	28.06	28.09	27.92	28.02	7076	4792130	0
2003.09.10	19:00:00	28.02	28.07	27.96	28.04	5745	3831116	0
2003.09.10	20:00:00	28.01	28.09	27.91	27.96	5796	3896840	0
2003.09.10	21:00:00	27.96	28.02	27.61	27.70	13958	10026935	0
2003.09.10	22:00:00	27.69	27.77	27.48	27.52	15078	10536084	0
2003.09.11	16:00:00	27.68	27.78	27.59	27.72	6697	4570551	0
2003.09.11	17:00:00	27.71	27.88	27.67	27.70	9717	5675500	0
2003.09.11	18:00:00	27.71	27.83	27.60	27.80	8565	5297173	0
2003.09.11	19:00:00	27.79	27.93	27.72	27.93	5721	3358671	0
2003.09.11	20:00:00	27.93	27.99	27.70	27.93	5767	3409669	0
2003.09.11	21:00:00	27.89	28.10	27.82	28.07	6853	4066482	0
2003.09.11	22:00:00	28.08	28.11	27.81	27.88	10750	7428895	0
2003.09.12	16:00:00	27.47	27.75	27.45	27.56	11238	8991068	0
2003.09.12	17:00:00	27.56	27.89	27.54	27.82	13835	9047813	0
2003.09.12	18:00:00	27.83	28.01	27.79	27.93	11299	7667410	0
2003.09.12	19:00:00	27.93	27.95	27.78	27.93	6573	4421312	0
2003.09.12	20:00:00	27.94	27.99	27.84	27.95	5381	4195658	0
2003.09.12	21:00:00	27.95	28.25	27.93	28.18	10911	6517549	0
2003.09.12	22:00:00	28.19	28.40	28.10	28.34	13216	8577419	0
2003.09.15	16:00:00	28.36	28.59	28.36	28.50	10264	6857408	0
2003.09.15	17:00:00	28.50	28.61	28.36	28.50	11274	6344127	0
2003.09.15	18:00:00	28.50	28.56	28.40	28.42	8437	6437029	0
2003.09.15	19:00:00	28.42	28.52	28.33	28.49	6121	4898218	0
2003.09.15	20:00:00	28.49	28.55	28.41	28.43	3883	2374278	0
2003.09.15	21:00:00	28.43	28.48	28.33	28.38	7943	5283821	0
2003.09.15	22:00:00	28.38	28.52	28.33	28.35	9317	6750853	0
2003.09.16	16:00:00	28.40	28.60	28.32	28.59	7511	6196043	0
2003.09.16	17:00:00	28.60	28.62	28.45	28.50	9307	6527254	0
2003.09.16	18:00:00	28.50	28.53	28.39	28.48	5855	5098820	0
2003.09.16	19:00:00	28.47	28.52	28.41	28.47	4458	3065882	0
2003.09.16	20:00:00	28.46	28.57	28.42	28.46	4565	2796617	0
2003.09.16	21:00:00	28.46	28.70	28.41	28.64	12845	9133640	0
2003.09.16	22:00:00	28.65	28.95	28.57	28.94	16904	14244735	0
2003.09.17	16:00:00	28.75	28.93	28.70	28.83	7951	6126527	0
2003.09.17	17:00:00	28.82	28.95	28.71	28.80	11233	8080323	0
2003.09.17	18:00:00	28.80	28.86	28.77	28.77	6750	4076302	0
