<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2003.09.10	28.02	28.18	27.48	27.52	69964	49670994	0
2003.09.11	27.68	28.11	27.59	27.88	54070	33806941	0
2003.09.12	27.47	28.40	27.45	28.34	72453	49418229	0
2003.09.15	28.36	28.61	28.33	28.35	57239	38945734	0
2003.09.16	28.40	28.95	28.32	28.94	61445	47062991	0
2003.09.17	28.75	28.95	28.47	28.49	66072	45175555	0
2003.09.18	28.50	29.51	28.42	29.49	82077	64000528	0
2003.09.19	29.76	29.97	29.52	29.95	80064	73644047	0
2003.09.22	29.41	30.00	28.81	29.08	81782	61761222	0
2003.09.23	29.12	29.71	28.88	29.69	74651	54949090	0
2003.09.24	29.71	29.73	28.42	28.50	86189	58298441	0
2003.09.25	28.47	28.96	28.22	28.23	82805	52295737	0
2003.09.26	28.27	28.78	28.14	28.15	75972	45483921	0
2003.09.29	28.41	28.91	28.10	28.88	72084	42699318	0
2003.09.30	28.59	28.61	27.75	27.83	89719	54145156	0
2003.10.01	28.03	28.63	27.81	28.62	79237	54496368	0
2003.10.02	28.45	28.75	28.19	28.49	63650	36635906	0
2003.10.03	29.16	29.46	28.93	29.10	83837	53743395	0
2003.10.06	29.15	29.30	28.91	29.20	45778	29860904	0
2003.10.07	29.01	29.37	28.92	29.15	76890	45835232	0
2003.10.08	29.36	29.36	28.68	28.82	69234	44232343	0
2003.10.09	29.22	29.35	28.80	28.94	76308	58560921	0
2003.10.10	28.91	29.20	28.67	28.83	51523	33136053	0
2003.10.13	28.98	29.10	28.50	28.78	52902	37006877	0
2003.10.14	28.60	28.77	28.48	28.67	50100	31800406	0
2003.10.15	29.20	29.26	28.70	29.10	67885	48242444	0
2003.10.16	28.91	29.31	28.80	29.26	53099	38479058	0
2003.10.17	29.28	29.30	28.80	28.87	51932	40084295	0
2003.10.20	28.94	29.37	28.80	29.34	52523	36342431	0
2003.10.21	29.35	29.43	29.17	29.36	52041	39638973	0
2003.10.22	29.04	29.21	28.80	28.94	58364	40434510	0
2003.10.23	28.72	29.08	28.10	28.93	68384	46701678	0
2003.10.24	27.27	27.37	26.42	26.63	175574	194512847	0
2003.10.27	26.91	27.10	26.82	26.91	74008	59420047	0
2003.10.28	27.10	27.22	26.88	27.20	75171	66264031	0
2003.10.29	27.25	27.25	26.66	26.75	74399	69402865	0
2003.10.30	27.04	27.04	25.91	26.11	101495	94690396	0
2003.10.31	26.37	26.44	26.11	26.30	70763	63501889	0
2003.11.03	26.35	26.75	26.29	26.68	67378	54528732	0
2003.11.04	26.60	26.62	26.01	26.07	86248	80075474	0
2003.11.05	26.15	26.34	26.00	26.12	65110	57355196	0
2003.11.06	26.27	26.30	26.00	26.24	70047	65981458	0
2003.11.07	26.38	26.49	26.03	26.12	64760	54873802	0
2003.11.10	26.12	26.23	26.00	26.00	54669	52018962	0
2003.11.11	26.01	26.07	25.67	25.81	61722	62119189	0
2003.11.12	25.86	26.14	25.60	26.01	83357	73479630	0
2003.11.13	25.86	25.93	25.45	25.68	82151	77445583	0
2003.11.14	25.70	26.02	25.45	25.45	75928	79832857	0
2003.11.17	25.39	25.44	24.84	25.21	84341	100245911	0
2003.11.18	25.33	25.81	25.14	25.14	85334	95916449	0
2003.11.19	25.28	25.54	25.17	25.35	66173	75406904	0
2003.11.20	25.16	25.63	25.08	25.09	84869	101923277	0
2003.11.21	25.33	25.37	25.08	25.14	57673	66835029	0
2003.11.24	25.31	25.79	25.28	25.69	71535	95287159	0
2003.11.25	25.87	25.95	25.38	25.42	73325	82843221	0
2003.11.26	25.61	25.63	25.32	25.45	54276	65941619	0
2003.11.28	25.51	25.75	25.40	25.63	26610	31945835	0
2003.12.01	25.90	26.21	25.62	25.85	83488	97258041	0
2003.12.02	25.95	26.09	25.61	25.66	72470	79232474	0
2003.12.03	25.83	26.07	25.62	25.65	83378	88169853	0
2003.12.04	25.72	26.23	25.66	26.15	78541	82865840	0
2003.12.05	25.96	26.48	25.92	25.98	92459	91350069	0
2003.12.08	26.12	26.34	25.81	26.25	75276	86592249	0
2003.12.09	26.44	26.61	26.25	26.38	95507	99144613	0
2003.12.10	26.45	26.63	26.38	26.62	72915	78673399	0
2003.12.11	26.60	26.77	26.28	26.62	85165	74445738	0
2003.12.12	26.71	26.81	26.50	26.68	62051	66941864	0
2003.12.15	27.02	27.10	26.68	26.77	86883	79998873	0
2003.12.16	26.83	27.16	26.77	27.06	79696	70917193	0
2003.12.17	27.02	27.08	26.85	27.05	56724	50047631	0
2003.12.18	27.12	27.43	27.05	27.43	67705	57267734	0
2003.12.19	27.47	27.55	27.19	27.37	71049	66070528	0
2003.12.22	27.15	27.43	26.97	27.19	52311	41289063	0
2003.12.23	27.13	27.31	27.01	27.18	50005	36259985	0
2003.12.24	27.10	27.16	27.00	27.05	20847	17012207	0
2003.12.26	27.04	27.35	27.00	27.21	16449	11846171	0
2003.12.29	27.20	27.52	27.16	27.52	43430	35625154	0
2003.12.30	27.41	27.55	27.40	27.55	39718	29592176	0
2003.12.31	27.44	27.55	27.23	27.44	45852	34583447	0
2004.01.02	27.58	27.77	27.33	27.46	55098	41475396	0
2004.01.05	27.74	28.18	27.72	28.17	71630	61295609	0
2004.01.06	28.09	28.28	28.07	28.21	57052	43588016	0
2004.01.07	28.14	28.30	28.01	28.25	61755	47068021	0
2004.01.08	28.39	28.48	28.00	28.24	64238	50932301	0
2004.01.09	28.03	28.04	27.59	27.60	79450	64277036	0
2004.01.12	27.67	27.73	27.35	27.56	66794	52049973	0
2004.01.13	27.54	27.64	27.26	27.44	59856	43915807	0
2004.01.14	27.53	27.73	27.47	27.70	47445	40889196	0
2004.01.15	27.55	27.72	27.42	27.55	68697	54525139	0
2004.01.16	27.74	27.86	27.53	27.86	60634	57041982	0
2004.01.20	27.99	28.20	27.93	28.07	64835	55373643	0
2004.01.21	28.13	28.30	27.85	28.30	64100	49967798	0
2004.01.22	28.37	28.44	27.94	28.00	80823	64862631	0
2004.01.23	28.27	28.76	28.22	28.52	124010	116191061	0
2004.01.26	28.48	28.82	28.32	28.82	69793	54704842	0
2004.01.27	28.65	28.72	28.22	28.25	73770	57775333	0
2004.01.28	28.29	28.44	27.47	27.70	86267	68409624	0
2004.01.29	27.79	27.95	27.57	27.92	89777	60538895	0
2004.01.30	27.84	27.90	27.55	27.65	64739	36637247	0
2004.02.02	27.61	27.80	27.24	27.44	95146	59213392	0
2004.02.03	27.40	27.55	27.18	27.35	75107	45801671	0
2004.02.04	27.24	27.43	27.01	27.01	96044	55996314	0
2004.02.05	27.06	27.17	26.83	26.97	83979	53063413	0
2004.02.06	27.03	27.19	26.93	27.08	68937	45114157	0
2004.02.09	27.17	27.23	26.85	26.89	63058	46007260	0
2004.02.10	26.86	27.15	26.82	27.07	61072	35672075	0
2004.02.11	26.95	27.23	26.85	27.18	76256	50037392	0
2004.02.12	27.09	27.15	26.93	26.95	56873	42675388	0
2004.02.13	26.95	27.06	26.49	26.58	86637	64630460	0
2004.02.17	26.70	27.10	26.59	26.99	61997	41167188	0
2004.02.18	26.93	27.11	26.75	26.75	67148	47821753	0
2004.02.19	26.90	26.98	26.43	26.46	77746	57965257	0
2004.02.20	26.62	26.76	26.50	26.60	73388	53196757	0
2004.02.23	26.73	26.76	26.48	26.61	70335	47382331	0
2004.02.24	26.61	26.96	26.55	26.87	75866	52745270	0
2004.02.25	26.89	26.99	26.62	26.62	77219	61273509	0
2004.02.26	26.61	26.65	26.41	26.42	74454	63133293	0
2004.02.27	26.48	26.62	26.35	26.54	69074	53458274	0
2004.03.01	26.61	26.72	26.50	26.71	67993	48307241	0
2004.03.02	26.62	26.69	26.35	26.36	71446	62094067	0
2004.03.03	26.35	26.55	26.22	26.36	70024	50597775	0
2004.03.04	26.36	26.42	26.21	26.39	54142	41289651	0
2004.03.05	26.21	26.60	26.20	26.35	82006	56843853	0
2004.03.08	26.27	26.35	25.81	25.83	89453	65464722	0
2004.03.09	25.77	25.97	25.54	25.72	105500	77424957	0
2004.03.10	25.66	25.80	25.35	25.37	91136	72322277	0
2004.03.11	25.20	25.78	25.07	25.10	112773	86854570	0
2004.03.12	25.38	25.51	25.23	25.39	82482	60936847	0
